,author,min_estimated_sales,max_estimated_sales,original_language,genre_or_major_works,number_of_books,nationality,genere_original,sales
44,Stephenie Meyer,100 million[123],116 million[124],English,"romance, fiction, vampires",6,American,"The Twilight Saga, The Host, romance",116 million[124]
45,Norman Bridwell,100 million[125],110 million[126],English,"children's literature, fiction, illustrated children's books",80,American,Clifford the Big Red Dog,110 million[126]
46,David Baldacci,blank,110 million[127],English,thriller,25,American,Thriller,110 million[127]
47,Nicholas Sparks,90 million[128],105 million[129],English,romance,22,American,Romance,105 million[129]
48,Evan Hunter,100 million[131],100 million[132],English,"whodunits, detective, crime fiction, fiction, mystery, suspense",94,American,Detective (Ed McBain),100 million[132]
49,Andrew Neiderman,100 million[133],100 million[134],English,"v. c. andrews, the devil's advocate",60,American,"V. C. Andrews, The Devil's Advocate",100 million[134]
50,Roger Hargreaves,100 million[135],100 million[136],English,"children's literature, fiction, illustrated children's books",blank,British,"Children's literature, Mr. Men",100 million[136]
51,Anne Rice,75 million[137],100 million[138],English,"romance, fiction, gothic fiction, vampires",27,American,"Gothic fiction, vampires, Interview with the Vampire (The Vampire Chronicles)",100 million[138]
52,Robin Cook,100 million[139],100 million[140],English,"thriller, adventure, fiction, mystery",27,American,Medical thriller Coma,100 million[140]
53,Wilbur Smith,80 million[141],100 million[142],English,african adventure,32,South African/British,African adventure,100 million[142]
54,Erskine Caldwell,80 million[143],100 million[144],English,literature,25,American,Literature,100 million[144]
55,Judith Krantz,80 million [145],100 million [146],English,romance,12,American,Romance,100 million [146]
56,Eleanor Hibbert,100 million[147],100 million[148],English,"romance, historical, suspense",200,British,"Romance, historical, suspense",100 million[148]
57,Lewis Carroll,blank,100 million[149],English,"absurdist literature, children's literature, fiction",5,British,"Alice's Adventures in Wonderland, absurdist literature",100 million[149]
58,Denise Robins,blank,100 million[150],English,romance,200,British,Romance,100 million[150]
59,Ian Fleming,100 million[152],100 million[153],English,"detective, crime fiction, espionage, mystery, suspense",14,British,James Bond,100 million[153]
60,Rex Stout,100 million[156],100 million[157],English,"whodunits, detective, crime fiction, fiction, mystery, suspense",50,American,Nero Wolfe,100 million[157]
61,Frank G. Slaughter,blank,100 million[160],English,medical,62,American,Medical,100 million[160]
62,Edgar Rice Burroughs,100 million[161],100 million[162],English,"children's literature, fiction, science fiction, fantasy",blank,American,"Tarzan, Barsoom and Pellucidar series, science fantasy",100 million[162]
63,John Creasey,blank,100 million[163],English,crime thriller,600,British,Crime thriller,100 million[163]
64,James A. Michener,blank,100 million[164],English,historical,47,American,Historical,100 million[164]
65,Mary Higgins Clark,100 million[166],100 million[167],English,thriller,blank,American,Thriller,100 million[167]
66,Penny Jordan,90 million[168],100 million[169],English,romance,200+,British,Romance,100 million[169]
67,Patricia Cornwell,blank,100 million[170],English,thriller,34+,American,Thriller,100 million[170]
